,library_size,detected_genes,noninteger_entries
TCGA-XX-A899-01A,50679247.0,34103,0
TCGA-AR-A1AJ-01A,50731416.0,33067,0
TCGA-D8-A27P-01A,50768201.0,32781,0
TCGA-E9-A1NG-11A,50854507.0,32528,0
TCGA-BH-A0BM-11A,50894137.0,29196,0
TCGA-BH-A0HA-11A,50935667.0,34985,0
TCGA-AC-A3W6-01A,50998617.0,32501,0
TCGA-GM-A2DD-01A,51048505.0,33118,0
TCGA-BH-A0DK-01A,51057316.0,31168,0
TCGA-BH-A0W7-01A,51069574.0,32420,0
TCGA-A8-A09E-01A,51109202.0,31161,0
TCGA-D8-A140-01A,51199868.0,32625,0
TCGA-LL-A6FQ-01A,51215210.0,29654,0
TCGA-BH-A0E1-01A,51249927.0,29329,0
TCGA-BH-A18P-01A,51250068.0,29817,0
TCGA-BH-A0DT-01A,51326903.0,32123,0
TCGA-E2-A15C-01A,51335420.0,33136,0
TCGA-E2-A15H-01A,51407800.0,32470,0
TCGA-E9-A1NC-01A,51449402.0,31384,0
TCGA-A8-A082-01A,51458106.0,32064,0
TCGA-BH-A0DG-01A,51528103.0,32759,0
TCGA-C8-A12L-01A,51554911.0,32025,0
TCGA-LD-A74U-01A,51565432.0,34826,0
TCGA-A2-A0CK-01A,51566012.0,32593,0
TCGA-A7-A0CJ-01A,51590391.0,31244,0
TCGA-E2-A150-01A,51597914.0,30113,0
TCGA-BH-A0B2-01A,51678626.0,32157,0
TCGA-AN-A0AS-01A,51685201.0,30833,0
TCGA-BH-A0BV-01A,51716280.0,30744,0
TCGA-EW-A1P5-01A,51739554.0,31117,0
TCGA-AQ-A7U7-01A,51746004.0,35706,0
TCGA-AN-A0FL-01A,51759640.0,28716,0
TCGA-E2-A15K-11A,51913263.0,31710,0
TCGA-AO-A03V-01A,51984622.0,32293,0
TCGA-D8-A13Y-01A,51998549.0,34112,0
TCGA-E2-A1IF-01A,52041336.0,32188,0
TCGA-E9-A3X8-01A,52043943.0,28268,0
TCGA-AC-A2QJ-01A,52048654.0,27972,0
TCGA-BH-A0E6-01A,52071050.0,30944,0
TCGA-D8-A143-01A,52151877.0,30230,0
TCGA-BH-A0DQ-01A,52194930.0,32934,0
TCGA-AC-A2FO-01A,52205499.0,33365,0
TCGA-A2-A0CZ-01A,52285814.0,31819,0
TCGA-BH-A0C3-11A,52292436.0,34468,0
TCGA-C8-A12T-01A,52321933.0,29618,0
TCGA-EW-A1P7-01A,52328936.0,34657,0
TCGA-A2-A0ST-01A,52351045.0,32895,0
TCGA-AO-A0JI-01A,52406785.0,31109,0
TCGA-E2-A14P-01A,52408361.0,31482,0
TCGA-E2-A1LE-01A,52411078.0,32184,0
TCGA-BH-A0AY-01A,52433921.0,27656,0
TCGA-E2-A1IG-01A,52457220.0,31389,0
TCGA-LL-A740-01A,52469111.0,31619,0
TCGA-A8-A084-01A,52480598.0,31254,0
TCGA-BH-A0E2-01A,52578957.0,31354,0
TCGA-A7-A13F-01A,52677713.0,30174,0
TCGA-B6-A0RE-01A,52696892.0,31604,0
TCGA-BH-A0HX-01A,52717009.0,31728,0
TCGA-A2-A0D0-01A,52810562.0,29676,0
TCGA-OL-A66N-01A,52847852.0,31445,0
TCGA-A7-A0D9-11A,52983992.0,30774,0
TCGA-A2-A0CR-01A,53114902.0,32250,0
TCGA-E9-A1R6-01A,53338620.0,30564,0
TCGA-A7-A0D9-01A,53355967.0,35568,0
TCGA-A2-A0CL-01A,53431954.0,34149,0
TCGA-D8-A1XG-01A,53486293.0,32789,0
TCGA-AN-A0FF-01A,53505029.0,34005,0
TCGA-A2-A0T2-01A,53545972.0,31068,0
TCGA-E2-A1B5-01A,53558608.0,32155,0
TCGA-BH-A1EW-01A,53565835.0,32266,0
TCGA-GM-A2DF-01A,53603929.0,33630,0
TCGA-BH-A0DE-01A,53648549.0,32558,0
TCGA-A2-A0SW-01A,53689289.0,36603,0
TCGA-AC-A6IX-01A,53692445.0,34027,0
TCGA-AN-A0AL-01A,53697878.0,30414,0
TCGA-AC-A2BM-01A,53709023.0,33516,0
TCGA-B6-A0I2-01A,53723835.0,32038,0
TCGA-AO-A0JF-01A,53799039.0,31940,0
TCGA-A2-A3KC-01A,54008566.0,33679,0
TCGA-A7-A425-01A,54058224.0,32705,0
TCGA-A2-A04P-01A,54082305.0,33552,0
TCGA-AO-A0JD-01A,54090947.0,31100,0
TCGA-EW-A2FW-01A,54113391.0,31018,0
TCGA-AR-A1AY-01A,54129979.0,32279,0
TCGA-A8-A09X-01A,54147655.0,31192,0
TCGA-C8-A12N-01A,54178789.0,32465,0
TCGA-GM-A2DM-01A,54181673.0,30347,0
TCGA-A1-A0SQ-01A,54194106.0,30760,0
TCGA-BH-A0B6-01A,54197924.0,28964,0
TCGA-BH-A0BT-01A,54217985.0,32569,0
TCGA-BH-A0H5-01A,54233055.0,32622,0
TCGA-EW-A3U0-01A,54279007.0,34885,0
TCGA-AO-A12C-01A,54280304.0,31750,0
TCGA-AR-A1AM-01A,54294314.0,34832,0
TCGA-AN-A0XL-01A,54310331.0,32944,0
TCGA-BH-A0DH-01A,54318255.0,30445,0
TCGA-BH-A0BW-01A,54346860.0,34286,0
TCGA-GM-A3NW-01A,54382790.0,33416,0
TCGA-BH-A0H7-11A,54408241.0,32093,0
TCGA-A2-A04N-01A,54425632.0,32917,0
TCGA-AC-A3W5-01A,54485282.0,33007,0
TCGA-A2-A0ES-01A,54528716.0,33626,0
TCGA-BH-A0B0-01A,54590099.0,30380,0
TCGA-BH-A0DT-11A,54613818.0,36201,0
TCGA-A8-A06U-01A,54708067.0,33339,0
TCGA-A2-A0D2-01A,54762380.0,31838,0
TCGA-BH-A0DI-01A,54850929.0,31709,0
TCGA-AO-A125-01A,54869228.0,32056,0
TCGA-GM-A2DN-01A,54916887.0,32150,0
TCGA-A8-A095-01A,55040878.0,32938,0
TCGA-BH-A0DO-11A,55078323.0,34738,0
TCGA-B6-A0RU-01A,55083751.0,30833,0
TCGA-A7-A0CG-01A,55096274.0,32929,0
TCGA-E2-A152-01A,55096320.0,30726,0
TCGA-E9-A3HO-01A,55108977.0,32968,0
TCGA-C8-A132-01A,55165517.0,33645,0
TCGA-AO-A129-01A,55210244.0,33477,0
TCGA-E2-A15I-01A,55263342.0,35054,0
TCGA-A8-A09D-01A,55353575.0,32365,0
TCGA-EW-A1P8-01A,55390836.0,31936,0
TCGA-AR-A1AX-01A,55398345.0,34515,0
TCGA-OL-A6VO-01A,55416200.0,33102,0
TCGA-BH-A18M-01A,55418051.0,33037,0
TCGA-BH-A0BA-01A,55461495.0,33511,0
TCGA-BH-A0BJ-01A,55483753.0,31052,0
TCGA-BH-A28O-01A,55548704.0,34857,0
TCGA-C8-A12P-01A,55593998.0,30286,0
TCGA-AC-A3TN-01A,55634939.0,31883,0
TCGA-BH-A2L8-01A,55671685.0,32929,0
TCGA-BH-A0B8-11A,55695376.0,32706,0
TCGA-AN-A0XW-01A,55706822.0,32173,0
TCGA-A2-A0EQ-01A,55775792.0,32824,0
TCGA-D8-A73X-01A,55791687.0,33788,0
TCGA-B6-A402-01A,55808469.0,35368,0
TCGA-A8-A07L-01A,55820593.0,31287,0
TCGA-E9-A6HE-01A,55866984.0,32162,0
TCGA-BH-A18P-11A,55884898.0,32889,0
TCGA-C8-A130-01A,55942199.0,33739,0
TCGA-AR-A2LJ-01A,55982528.0,31440,0
TCGA-A2-A0YK-01A,56039320.0,33812,0
TCGA-E2-A10F-01A,56062093.0,32687,0
TCGA-E9-A1NA-11A,56093588.0,32678,0
TCGA-A8-A08A-01A,56215078.0,32114,0
TCGA-A8-A09Z-01A,56215131.0,29705,0
TCGA-A2-A0CX-01A,56299736.0,31010,0
TCGA-B6-A0WZ-01A,56313795.0,30118,0
TCGA-AO-A0JJ-01A,56346430.0,31260,0
TCGA-AO-A0JE-01A,56386319.0,32495,0
TCGA-AR-A2LL-01A,56402199.0,33817,0
TCGA-A1-A0SG-01A,56402921.0,31620,0
TCGA-AC-A3QP-01A,56446113.0,31108,0
TCGA-AC-A3BB-01A,56475703.0,32531,0
TCGA-A2-A0EW-01A,56525124.0,33817,0
TCGA-BH-A0HI-01A,56532989.0,30116,0
TCGA-E2-A1IO-01A,56568803.0,33007,0
TCGA-AC-A2BK-01A,56635321.0,30237,0
TCGA-D8-A3Z5-01A,56636721.0,31914,0
TCGA-E9-A1N9-11A,56658328.0,35235,0
TCGA-AR-A1AU-01A,56689170.0,33111,0
TCGA-AN-A0FK-01A,56712046.0,29613,0
TCGA-AO-A03T-01A,56728864.0,31324,0
